"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"7390 Slaglille (Sorø Kommune)",39.4,39.2,40.2,40.8
"7391 Bjernede (Sorø Kommune)",38.2,39.2,39.6,40.2
"7392 Blistrup (Gribskov Kommune)",44.4,44.8,45.3,45.9
"7393 Vejby (Gribskov Kommune)",43.7,44.5,44.5,45.2
"7394 Tibirke (Gribskov Kommune)",46.8,47.6,48.2,48.9
"7395 Ramløse (Gribskov Kommune)",39.4,39.8,40.3,40.8
"7396 Annisse (Gribskov Kommune)",42.3,42.6,43.0,43.6
"7397 Frederiksværk (Halsnæs Kommune)",41.8,42.4,42.8,43.0
"7398 Vinderød (Halsnæs Kommune)",40.3,40.6,41.0,41.3
"7399 Kregme (Halsnæs Kommune)",40.8,41.2,41.5,42.2
"7400 Ølsted (Halsnæs Kommune)",42.7,42.9,43.0,43.4
"7401 Tjæreby (Hillerød Kommune)",40.8,40.7,40.8,41.6
"7402 Alsønderup (Hillerød Kommune)",37.4,38.0,38.5,39.0
"7403 Skævinge (Hillerød Kommune)",35.8,35.8,36.1,36.4
"7404 Lille Lyngby (Hillerød Kommune)",37.2,37.6,37.8,38.4
"7405 Strø (Hillerød Kommune)",35.6,36.4,37.3,38.0
"7406 Gørløse (Hillerød Kommune)",37.4,37.1,37.8,38.3
