"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"8718 Øsløs (Thisted Kommune)",39.3,40.6,41.9
"8719 Vesløs (Thisted Kommune)",42.6,42.5,41.7
"8720 Arup (Thisted Kommune)",43.9,44.2,44.4
"8721 Thisted (Thisted Kommune)",41.4,41.8,41.9
"8722 Tilsted (Thisted Kommune)",42.1,41.6,41.7
"8723 Skinnerup (Thisted Kommune)",36.5,36.3,34.9
"8724 Sjørring (Thisted Kommune)",39.2,39.1,39.1
"8725 Thorsted (Thisted Kommune)",32.3,33.2,33.1
"8726 Skjoldborg (Thisted Kommune)",37.8,39.1,39.6
"8727 Kallerup (Thisted Kommune)",33.7,34.4,34.4
"8728 Hundborg (Thisted Kommune)",42.2,42.6,42.5
"8729 Jannerup (Thisted Kommune)",38.0,37.5,39.3
"8730 Vang (Thisted Kommune)",39.3,40.5,41.1
"8731 Ræhr (Thisted Kommune)",39.6,40.6,41.0
"8732 Hansted (Thisted Kommune)",38.9,38.5,39.6
"8733 Vigsø (Thisted Kommune)",42.1,45.1,44.5
"8734 Nors (Thisted Kommune)",40.6,40.6,40.5
"8735 Tved (Thisted Kommune)",37.1,38.4,39.2
"8736 Vester Vandet (Thisted Kommune)",40.8,40.5,41.2
"8737 Øster Vandet (Thisted Kommune)",38.9,37.8,37.0
"8738 Skovlund (Varde Kommune)",41.0,40.3,40.6
"8739 Husby (Holstebro Kommune, Ringkøbing-Skjern Kommune)",48.3,48.7,50.2
"8740 Sønder Nissum (Holstebro Kommune)",45.1,45.7,46.3
"8741 Staby (Holstebro Kommune)",38.4,38.7,38.0
"8742 Ulfborg (Holstebro Kommune)",43.1,43.1,43.6
"8743 Idom (Holstebro Kommune)",37.1,36.7,36.8
"8744 Råsted (Holstebro Kommune)",39.2,39.9,39.6
"8745 Nørre Felding (Holstebro Kommune)",35.6,35.3,35.4
"8746 Tvis (Holstebro Kommune)",36.2,35.6,35.6
"8747 Vinding (Herning Kommune)",36.9,37.3,37.1
"8748 Vind (Herning Kommune)",36.1,36.1,36.2
"8749 Ringkøbing (Ringkøbing-Skjern Kommune)",43.2,43.6,44.0
"8750 Rindum (Ringkøbing-Skjern Kommune)",37.3,37.5,37.5
"8751 Velling (Ringkøbing-Skjern Kommune)",38.0,38.7,39.3
"8752 Hee (Ringkøbing-Skjern Kommune)",35.3,35.3,35.7
"8753 No (Ringkøbing-Skjern Kommune)",36.3,36.7,36.4
"8754 Nørre Omme (Herning Kommune, Ringkøbing-Skjern Kommune)",38.3,39.0,39.1
"8755 Brejning (Ringkøbing-Skjern Kommune)",38.6,38.8,38.8
"8756 Torsted (Ringkøbing-Skjern Kommune)",35.4,36.3,37.0
"8757 Hover (Ringkøbing-Skjern Kommune)",38.3,38.8,39.6
"8758 Stadil (Ringkøbing-Skjern Kommune)",42.2,42.6,42.6
"8759 Tim (Ringkøbing-Skjern Kommune)",41.1,40.7,40.6
"8760 Madum (Holstebro Kommune)",32.8,33.2,32.9
"8761 Vedersø (Ringkøbing-Skjern Kommune)",43.4,44.1,44.6
"8762 Holmsland Klit (Ringkøbing-Skjern Kommune)",40.3,40.7,41.2
"8763 Ny (Ringkøbing-Skjern Kommune)",42.8,42.4,42.5
"8764 Gammel (Ringkøbing-Skjern Kommune)",40.1,41.1,41.3
"8765 Skjern (Ringkøbing-Skjern Kommune)",40.6,40.7,40.9
"8766 Vorgod (Ringkøbing-Skjern Kommune)",36.2,36.5,36.5
"8767 Nørre Vium (Ringkøbing-Skjern Kommune)",34.2,34.0,34.5
"8768 Herborg (Ringkøbing-Skjern Kommune)",38.9,39.4,40.3
"8769 Videbæk (Ringkøbing-Skjern Kommune)",42.1,42.6,42.7
"8770 Sønder Lem (Ringkøbing-Skjern Kommune)",39.3,39.4,39.5
"8771 Ølstrup (Ringkøbing-Skjern Kommune)",37.0,37.2,37.6
"8772 Dejbjerg (Ringkøbing-Skjern Kommune)",38.0,38.7,39.2
"8773 Hanning (Ringkøbing-Skjern Kommune)",37.6,37.4,37.0
"8774 Stauning (Ringkøbing-Skjern Kommune)",38.4,38.1,38.1
"8775 Bølling (Ringkøbing-Skjern Kommune)",37.6,38.5,39.3
"8776 Sædding (Ringkøbing-Skjern Kommune)",36.6,37.2,36.1
"8777 Sønder Borris (Ringkøbing-Skjern Kommune)",39.1,39.4,39.2
"8778 Faster (Ringkøbing-Skjern Kommune)",35.5,35.4,34.6
"8779 Sønder Bork (Ringkøbing-Skjern Kommune)",39.9,40.0,40.2
"8780 Nørre Bork (Ringkøbing-Skjern Kommune)",42.7,42.8,41.9
"8781 Hemmet (Ringkøbing-Skjern Kommune)",40.8,40.8,41.9
"8782 Sønder Vium (Ringkøbing-Skjern Kommune)",33.4,34.3,34.7
"8783 Lønborg (Ringkøbing-Skjern Kommune)",36.9,37.6,37.8
"8784 Egvad (Ringkøbing-Skjern Kommune)",33.0,32.7,32.4
"8785 Ådum (Ringkøbing-Skjern Kommune)",37.2,36.6,36.0
"8786 Hoven (Ringkøbing-Skjern Kommune)",40.8,41.2,41.0
"8787 Strellev (Varde Kommune)",36.4,37.1,37.4
"8788 Lyne (Ringkøbing-Skjern Kommune)",37.5,38.1,38.4
"8789 Herning (Herning Kommune)",42.7,42.7,42.7
"8790 Sankt Johannes (Herning Kommune)",40.7,41.1,41.5
"8791 Fredens (Herning Kommune)",40.2,39.9,39.8
"8792 Aulum (Herning Kommune)",39.5,39.7,39.7
"8793 Hodsager (Herning Kommune)",37.5,37.5,37.6
"8794 Vildbjerg (Herning Kommune)",38.6,38.8,39.3
"8795 Nøvling (Herning Kommune)",36.0,36.1,36.8
"8796 Timring (Herning Kommune)",36.7,36.9,36.5
"8797 Ørre (Herning Kommune)",38.2,37.4,37.3
"8798 Sinding (Herning Kommune)",37.2,37.6,37.8
"8799 Gjellerup (Herning Kommune)",37.1,37.2,37.2
"8800 Sunds (Herning Kommune)",39.2,39.3,39.5
"8801 Ilskov (Herning Kommune, Ikast-Brande Kommune)",36.1,36.4,36.7
"8802 Ikast (Ikast-Brande Kommune)",40.1,40.5,40.6
"8803 Rind (Herning Kommune)",37.6,37.6,37.8
"8804 Snejbjerg (Herning Kommune)",38.3,38.7,38.8
"8805 Tjørring (Herning Kommune)",39.2,39.3,39.3
"8806 Studsgård (Herning Kommune)",35.5,35.5,35.9
"8807 Haunstrup (Herning Kommune)",38.5,39.7,40.0
"8808 Sønder Felding (Herning Kommune)",40.4,40.8,40.9
"8809 Assing (Herning Kommune)",39.2,39.4,39.6
"8810 Skarrild (Herning Kommune)",37.2,36.8,37.1
"8811 Arnborg (Herning Kommune)",38.9,39.2,39.0
"8812 Bording (Ikast-Brande Kommune)",39.6,39.7,40.0
"8813 Holstebro (Holstebro Kommune)",42.1,42.2,42.1
"8814 Måbjerg (Holstebro Kommune)",37.8,37.9,38.4
"8815 Nørrelands (Holstebro Kommune)",37.4,37.4,37.7
"8816 Struer (Struer Kommune)",41.5,41.7,42.0
"8817 Gimsing (Struer Kommune)",41.8,41.6,41.6
"8818 Vejrum (Struer Kommune)",37.6,37.6,37.7
"8819 Mejrup (Holstebro Kommune)",35.8,36.1,36.0
"8820 Hjerm (Struer Kommune)",37.3,37.6,37.7
"8821 Borbjerg (Holstebro Kommune)",36.6,36.4,36.7
"8822 Ølby (Struer Kommune)",39.3,38.7,40.2
"8823 Asp (Struer Kommune)",40.0,40.1,39.7
"8824 Fousing (Struer Kommune)",37.4,37.6,37.5
"8825 Naur (Holstebro Kommune)",36.1,35.9,36.2
"8826 Sir (Holstebro Kommune)",36.8,37.7,38.3
"8827 Gørding (Holstebro Kommune)",33.4,34.5,35.7
"8828 Vemb (Holstebro Kommune)",42.5,42.4,42.5
"8829 Bur (Holstebro Kommune)",40.5,40.1,40.2
"8830 Estvad (Skive Kommune)",38.0,38.6,39.1
"8831 Rønbjerg (Skive Kommune)",39.7,38.8,39.7
"8832 Sahl (Holstebro Kommune)",42.8,43.0,43.1
"8833 Ejsing (Holstebro Kommune)",39.0,38.9,38.8
"8834 Ryde (Holstebro Kommune)",37.4,37.8,38.3
"8835 Handbjerg (Holstebro Kommune)",35.6,36.5,36.6
"8836 Sevel (Holstebro Kommune)",40.4,40.2,40.6
"8837 Haderup (Herning Kommune)",39.9,39.8,39.9
"8838 Grove (Herning Kommune)",41.6,41.5,43.0
"8839 Simmelkær (Herning Kommune)",37.6,37.7,38.5
"8840 Lemvig (Lemvig Kommune)",46.8,47.1,47.3
"8841 Nørlem (Lemvig Kommune)",38.5,39.2,40.1
"8842 Nørre Nissum (Lemvig Kommune)",36.4,37.2,37.3
"8843 Tørring (Lemvig Kommune)",40.3,40.4,40.8
"8844 Heldum (Lemvig Kommune)",43.1,43.3,43.0
"8845 Lomborg (Lemvig Kommune)",36.4,36.9,36.7
"8846 Rom (Lemvig Kommune)",36.8,36.2,36.7
"8847 Bøvling (Lemvig Kommune)",42.0,42.1,42.4
"8848 Flynder (Lemvig Kommune)",42.2,42.3,42.4
"8849 Møborg (Lemvig Kommune)",36.5,36.2,36.4
"8850 Nees (Lemvig Kommune)",40.3,40.4,40.8
"8851 Gudum (Lemvig Kommune)",39.8,40.1,40.3
"8852 Fabjerg (Lemvig Kommune)",36.7,36.6,36.9
"8853 Resen (Struer Kommune)",37.4,37.7,38.7
"8854 Humlum (Struer Kommune)",40.0,40.5,40.9
"8855 Venø (Struer Kommune)",44.2,44.9,45.5
"8856 Harboøre (Lemvig Kommune)",41.8,41.9,42.3
"8857 Engbjerg (Lemvig Kommune)",38.5,38.4,37.9
"8858 Thyborøn (Lemvig Kommune)",40.5,40.8,41.5
"8859 Hygum (Lemvig Kommune)",41.6,40.6,41.4
"8860 Hove (Lemvig Kommune)",36.3,36.9,37.5
"8861 Vandborg (Lemvig Kommune)",38.4,38.3,38.2
"8862 Ferring (Lemvig Kommune)",48.2,49.3,50.6
"8863 Dybe (Lemvig Kommune)",39.6,40.2,39.5
"8864 Ramme (Lemvig Kommune)",41.3,42.1,42.9
"8865 Fjaltring (Lemvig Kommune)",46.2,47.4,47.1
"8866 Trans (Lemvig Kommune)",37.3,39.1,41.4
"8867 Thorstrup (Varde Kommune)",37.6,37.8,37.9
"8868 Horne (Varde Kommune)",37.8,38.0,38.3
"8869 Hodde (Varde Kommune)",38.9,38.8,39.0
"8870 Tistrup (Varde Kommune)",37.8,38.4,38.9
"8871 Ølgod (Varde Kommune)",41.1,41.4,41.5
"8872 Ansager (Varde Kommune)",40.3,40.8,41.4
"8873 Varde (Varde Kommune)",41.3,41.4,41.6
"8874 Janderup (Varde Kommune)",37.8,38.4,38.5
"8875 Billum (Varde Kommune)",37.4,37.7,37.5
"8876 Lunde (Varde Kommune)",38.9,38.3,38.5
"8877 Ovtrup (Varde Kommune)",38.7,39.5,39.9
"8878 Kvong (Varde Kommune)",36.6,36.4,35.9
"8879 Nørre Nebel (Varde Kommune)",44.4,44.5,44.5
"8880 Lydum (Varde Kommune)",36.5,37.2,36.9
"8881 Henne (Varde Kommune)",40.5,39.9,40.3
"8882 Lønne (Varde Kommune)",49.2,50.1,50.1
"8883 Ål (Varde Kommune)",39.7,40.3,40.5
"8884 Ho (Varde Kommune)",44.1,46.3,45.7
"8885 Oksby (Varde Kommune)",51.1,51.5,51.3
"8886 Ribe Domsogn (Esbjerg Kommune)",42.9,43.1,43.4
"8887 Seem (Esbjerg Kommune)",39.3,40.0,39.7
"8888 Sankt Katharine (Esbjerg Kommune)",41.0,41.3,41.5
"8889 Obbekær (Esbjerg Kommune)",37.1,37.2,36.6
"8890 Hjortlund (Esbjerg Kommune)",36.4,36.9,37.5
"8891 Kalvslund (Esbjerg Kommune)",39.0,39.2,39.1
"8892 Vester Vedsted (Esbjerg Kommune)",37.2,38.0,38.2
"8893 Farup (Esbjerg Kommune)",36.5,37.1,37.3
"8894 Mandø (Esbjerg Kommune)",48.1,49.7,50.2
"8895 Gørding (Esbjerg Kommune, Vejen Kommune)",37.6,37.8,38.2
"8896 Vejrup (Esbjerg Kommune)",39.5,39.5,39.7
"8897 Åstrup (Vejen Kommune)",38.2,38.0,38.1
"8898 Vester Starup (Varde Kommune)",39.3,39.3,39.6
"8899 Darum (Esbjerg Kommune)",36.5,36.8,37.2
"8900 Bramming (Esbjerg Kommune)",39.2,39.4,39.5
"8901 Vilslev (Esbjerg Kommune)",37.5,37.2,37.2
"8902 Hunderup (Esbjerg Kommune)",35.2,35.8,35.5
"8903 Jernved (Esbjerg Kommune)",39.4,40.0,40.5
"8904 Aalestrup (Vesthimmerlands Kommune)",44.1,44.1,43.6
"8905 Vor Frelsers (Esbjerg Kommune)",39.6,39.8,39.6
"8906 Zions (Esbjerg Kommune)",40.5,40.5,40.4
"8907 Treenigheds (Esbjerg Kommune)",43.1,43.1,42.8
"8908 Jerne (Esbjerg Kommune)",38.8,39.1,39.2
"8909 Skads (Esbjerg Kommune)",38.1,38.4,39.0
"8910 Øse (Varde Kommune)",39.5,39.6,39.0
"8911 Næsbjerg (Varde Kommune)",39.1,39.4,39.7
"8912 Grimstrup (Esbjerg Kommune, Varde Kommune)",36.1,36.0,36.3
"8913 Vester Nykirke (Esbjerg Kommune)",35.4,36.3,36.9
"8914 Fåborg (Varde Kommune)",36.3,36.6,36.9
"8915 Årre (Varde Kommune)",40.3,40.4,39.9
"8916 Sneum (Esbjerg Kommune)",36.5,36.3,36.8
"8917 Tjæreborg (Esbjerg Kommune)",39.7,39.8,39.7
"8918 Bryndum (Esbjerg Kommune)",37.6,37.2,37.3
"8919 Vester Nebel (Esbjerg Kommune)",37.1,37.2,36.8
"8920 Alslev (Varde Kommune)",37.6,37.4,37.3
"8921 Hostrup (Esbjerg Kommune)",40.2,40.9,38.2
"8922 Guldager (Esbjerg Kommune)",34.1,34.5,34.8
"8923 Nordby (Fanø Kommune)",44.1,44.6,45.5
"8924 Sønderho (Fanø Kommune)",54.4,54.2,54.1
"8925 Lindknud (Vejen Kommune)",37.9,37.9,38.5
"8926 Brørup (Vejen Kommune)",42.1,42.0,42.1
"8927 Holsted (Vejen Kommune)",40.1,40.4,40.9
"8928 Føvling (Vejen Kommune)",37.5,37.4,37.1
"8929 Malt (Vejen Kommune)",34.3,34.4,34.6
"8930 Folding (Vejen Kommune)",37.9,37.6,38.2
"8931 Vejen (Vejen Kommune)",40.9,41.3,41.6
"8932 Læborg (Vejen Kommune)",36.2,37.4,37.5
"8933 Veerst (Vejen Kommune)",35.7,36.0,35.8
"8934 Bække (Vejen Kommune)",39.1,39.3,39.9
"8935 Lejrskov (Kolding Kommune)",36.0,35.4,35.6
"8936 Jordrup (Kolding Kommune)",37.0,37.4,37.3
"8937 Andst (Vejen Kommune)",36.6,36.6,36.7
"8938 Gesten (Vejen Kommune)",39.2,39.4,39.3
"8939 Skanderup (Kolding Kommune)",37.5,37.5,37.8
"8940 Seest (Kolding Kommune)",40.6,40.5,40.9
"8941 Hjarup (Kolding Kommune)",37.7,38.1,38.5
"8942 Grindsted (Billund Kommune)",40.6,40.9,41.1
"8943 Grene (Billund Kommune)",38.4,38.8,39.2
"8944 Vorbasse (Billund Kommune)",39.8,40.1,39.9
"8945 Hejnsvig (Billund Kommune)",39.7,40.0,39.7
"8946 Gram (Haderslev Kommune)",42.9,43.2,43.8
"8947 Lintrup (Vejen Kommune)",36.4,35.8,35.7
"8948 Hjerting (Vejen Kommune)",33.4,31.7,31.1
"8949 Rødding (Vejen Kommune)",45.6,45.5,45.6
"8950 Skrave (Vejen Kommune)",40.4,40.1,40.6
"8951 Sønder Hygum (Vejen Kommune)",37.9,38.1,38.4
"8952 Fole (Haderslev Kommune)",34.9,34.3,34.5
"8953 Øster Lindet (Vejen Kommune)",36.1,37.0,36.7
"8954 Nustrup (Haderslev Kommune)",37.4,37.9,37.8
"8955 Skrydstrup (Haderslev Kommune)",38.1,37.8,38.5
"8956 Agerskov (Tønder Kommune)",40.4,40.4,40.3
"8957 Bevtoft (Haderslev Kommune, Tønder Kommune)",37.6,37.7,38.6
"8958 Tirslund (Tønder Kommune)",38.8,38.6,39.4
"8959 Branderup (Tønder Kommune)",36.1,37.1,37.0
"8960 Toftlund (Tønder Kommune)",41.7,42.0,42.4
"8961 Haderslev Vor Frue Domsogn (Haderslev Kommune)",41.2,41.3,41.2
"8962 Gammel Haderslev (Haderslev Kommune)",42.4,42.7,42.8
"8963 Åstrup (Haderslev Kommune)",36.6,37.1,38.3
"8964 Halk (Haderslev Kommune)",43.3,43.4,44.8
"8965 Hoptrup (Haderslev Kommune)",39.8,39.6,39.6
"8966 Moltrup (Haderslev Kommune)",37.3,38.2,38.3
"8967 Bjerning (Haderslev Kommune)",40.0,39.5,39.7
"8968 Øsby (Haderslev Kommune)",42.1,42.4,42.2
"8969 Sønder Starup (Haderslev Kommune)",39.3,38.8,38.9
"8970 Grarup (Haderslev Kommune)",38.4,38.4,37.9
"8971 Vilstrup (Haderslev Kommune)",40.6,41.2,40.5
"8972 Vonsbæk (Haderslev Kommune)",38.9,39.7,39.7
"8973 Hammelev (Haderslev Kommune)",39.7,39.8,39.7
"8974 Maugstrup (Haderslev Kommune)",37.3,37.5,37.6
"8975 Vojens (Haderslev Kommune)",44.5,44.8,45.2
"8976 Jegerup (Haderslev Kommune)",41.3,42.0,42.3
"8977 Jels (Vejen Kommune)",40.1,39.9,40.0
"8978 Oksenvad (Haderslev Kommune)",37.8,37.8,38.2
"8979 Sommersted (Haderslev Kommune)",40.6,40.9,41.1
"8980 Vedsted (Haderslev Kommune)",38.2,38.3,38.2
"8981 Aller (Haderslev Kommune, Kolding Kommune)",43.7,44.5,41.6
"8982 Fjelstrup (Haderslev Kommune)",38.9,38.7,38.9
"8983 Stepping (Kolding Kommune)",37.1,37.0,36.3
"8984 Frørup (Kolding Kommune)",31.3,31.6,31.6
"8985 Tyrstrup (Kolding Kommune)",41.9,42.2,42.2
"8986 Hjerndrup (Haderslev Kommune)",36.2,36.6,36.8
"8987 Skodborg (Vejen Kommune)",38.9,39.2,39.1
"8988 Sankt Marie (Sønderborg Kommune)",40.9,41.2,41.4
"8989 Christians (Sønderborg Kommune)",41.6,41.6,41.8
"8990 Augustenborg (Sønderborg Kommune)",43.0,43.1,43.7
"8991 Ketting (Sønderborg Kommune)",42.3,42.6,42.2
"8992 Ulkebøl (Sønderborg Kommune)",40.1,40.6,41.0
"8993 Notmark (Sønderborg Kommune)",40.9,41.2,41.3
"8994 Asserballe (Sønderborg Kommune)",38.0,38.0,38.2
"8995 Tandslet (Sønderborg Kommune)",40.3,40.1,40.3
"8996 Hørup (Sønderborg Kommune)",42.5,42.5,42.6
"8997 Lysabild (Sønderborg Kommune)",41.2,41.1,41.5
"8998 Kegnæs (Sønderborg Kommune)",42.4,42.6,43.2
"8999 Nordborg (Sønderborg Kommune)",44.1,44.0,44.3
"9000 Svenstrup (Sønderborg Kommune)",38.0,37.9,38.6
"9001 Havnbjerg (Sønderborg Kommune)",40.6,41.2,41.9
"9002 Oksbøl (Sønderborg Kommune)",42.2,42.4,42.0
"9003 Egen (Sønderborg Kommune)",43.3,43.7,44.3
"9004 Broager (Sønderborg Kommune)",39.9,40.1,40.4
"9005 Egernsund (Sønderborg Kommune)",42.1,42.6,43.1
"9006 Dybbøl (Sønderborg Kommune)",37.3,37.7,38.2
"9007 Nybøl (Sønderborg Kommune)",41.1,40.9,40.7
"9008 Sottrup (Sønderborg Kommune)",38.0,38.3,38.4
"9009 Ullerup (Sønderborg Kommune)",37.9,38.5,38.7
"9010 Aabenraa (Aabenraa Kommune)",42.2,42.5,42.7
"9011 Hjordkær (Aabenraa Kommune)",36.6,36.8,37.2
"9012 Løjt (Aabenraa Kommune)",39.6,39.7,39.6
"9013 Bjolderup (Aabenraa Kommune)",38.3,38.4,38.6
"9014 Rise (Aabenraa Kommune)",41.2,41.4,41.8
"9015 Øster Løgum (Aabenraa Kommune)",38.6,38.4,38.5
"9016 Bedsted (Tønder Kommune)",39.3,39.8,40.3
"9017 Hellevad (Aabenraa Kommune)",38.0,38.1,38.4
"9018 Egvad (Aabenraa Kommune)",36.9,37.4,37.3
"9019 Gråsten (Sønderborg Kommune)",44.0,44.5,44.9
"9021 Varnæs (Aabenraa Kommune)",40.2,39.6,39.8
"9022 Ensted (Aabenraa Kommune)",40.4,40.5,40.2
"9023 Felsted (Sønderborg Kommune, Aabenraa Kommune)",39.3,39.4,39.6
"9024 Holbøl (Aabenraa Kommune)",42.3,43.0,42.5
"9025 Rinkenæs (Sønderborg Kommune)",43.1,43.6,43.2
"9026 Uge (Aabenraa Kommune)",35.2,36.0,35.6
"9027 Kliplev (Aabenraa Kommune)",39.6,39.8,40.0
"9028 Kværs (Sønderborg Kommune, Aabenraa Kommune)",37.5,37.3,36.7
"9029 Bov (Aabenraa Kommune)",42.4,42.5,42.9
"9030 Hviding (Esbjerg Kommune)",37.1,37.0,38.0
"9031 Rejsby (Tønder Kommune)",39.5,38.9,39.8
"9032 Brøns (Tønder Kommune)",39.3,39.1,38.7
"9033 Vodder (Tønder Kommune)",35.2,35.5,35.7
"9034 Roager (Esbjerg Kommune)",38.2,38.6,38.5
"9035 Spandet (Esbjerg Kommune)",41.2,42.4,41.9
"9036 Arrild (Tønder Kommune)",40.7,40.5,41.2
"9037 Højrup (Haderslev Kommune, Tønder Kommune)",41.0,41.0,41.5
"9038 Skærbæk (Tønder Kommune)",44.9,45.0,45.2
"9039 Tønder (Tønder Kommune)",43.0,43.1,43.5
"9040 Ubjerg (Tønder Kommune)",42.7,42.0,42.0
"9041 Abild (Tønder Kommune)",36.7,36.9,37.1
"9042 Visby (Tønder Kommune)",38.7,39.2,39.6
"9043 Daler (Tønder Kommune)",36.4,36.0,36.1
"9044 Møgeltønder (Tønder Kommune)",39.5,40.5,40.6
"9045 Løgumkloster (Tønder Kommune)",46.2,45.9,46.0
"9046 Nørre Løgum (Tønder Kommune)",38.9,38.2,38.2
"9047 Brede (Tønder Kommune)",41.0,42.0,42.3
"9048 Døstrup (Tønder Kommune)",37.8,36.8,37.7
"9049 Mjolden (Tønder Kommune)",41.0,41.0,41.3
"9050 Randerup (Tønder Kommune)",38.6,38.5,38.3
"9051 Højer (Tønder Kommune)",45.0,45.4,46.2
"9052 Emmerlev (Tønder Kommune)",37.2,37.7,39.0
"9053 Hjerpsted (Tønder Kommune)",53.0,53.7,54.4
"9054 Ballum (Tønder Kommune)",43.0,42.0,42.1
"9055 Sønder Skast (Tønder Kommune)",38.4,39.4,38.4
"9056 Burkal (Tønder Kommune, Aabenraa Kommune)",41.4,40.6,41.2
"9057 Bylderup (Aabenraa Kommune)",37.6,38.3,38.9
"9058 Højst (Tønder Kommune)",35.6,35.7,36.0
"9059 Hostrup (Tønder Kommune)",38.4,38.7,39.0
"9060 Ravsted (Aabenraa Kommune)",37.0,37.1,37.7
"9061 Tinglev (Aabenraa Kommune)",41.9,42.3,42.6
"9062 Rømø (Tønder Kommune)",48.0,48.6,47.7
"9063 Lendum (Hjørring Kommune)",38.9,37.8,38.7
"9064 Øster Hassing (Aalborg Kommune)",38.3,38.7,39.0
"9065 Stenild (Rebild Kommune, Mariagerfjord Kommune)",36.5,36.5,36.2
"9066 Nyvangs (Kalundborg Kommune)",41.7,42.0,42.0
"9067 Vamdrup (Kolding Kommune)",38.7,38.8,38.9
"9068 Søborgmagle (Gladsaxe Kommune)",36.4,36.5,36.5
"9070 Halskov (Slagelse Kommune)",40.2,40.4,40.5
"9071 Haralds (Gladsaxe Kommune)",40.7,40.8,40.6
"9072 Buddinge (Gladsaxe Kommune)",43.5,43.4,43.3
"9073 Grundtvigs (Esbjerg Kommune)",39.8,40.2,40.3
"9074 Lindehøj (Herlev Kommune)",39.7,40.0,40.4
"9075 Årup (Assens Kommune)",44.1,44.2,44.5
"9076 Skalborg (Aalborg Kommune)",41.1,41.1,41.4
"9077 Sønderbro (Horsens Kommune)",41.3,42.1,41.8
"9078 Sankt Andreas (Randers Kommune)",38.9,39.4,39.4
"9079 Vestervang (Viborg Kommune)",38.5,39.0,39.2
"9080 Rungsted (Hørsholm Kommune)",41.7,41.8,42.1
"9081 Korsvejens (Tårnby Kommune)",41.3,41.0,41.0
"9082 Rødbyhavn (Lolland Kommune)",44.2,44.3,44.4
"9083 Hedehusene (Høje-Taastrup Kommune)",38.1,38.4,38.3
"9084 Brøndby Strand (Brøndby Kommune)",37.5,37.9,38.1
"9085 Egeris (Skive Kommune)",39.1,39.2,39.7
"9086 Hadsten (Favrskov Kommune)",37.5,37.5,37.8
"9087 Hannerup (Fredericia Kommune)",39.5,39.5,39.4
"9088 Ellevang (Aarhus Kommune)",38.5,38.5,38.5
"9089 Pederstrup (Ballerup Kommune)",40.0,40.3,40.5
"9090 Helligånds (Aarhus Kommune)",35.0,35.3,34.8
"9091 Hedeager (Herning Kommune)",38.8,38.8,38.8
"9092 Nørremarks (Vejle Kommune)",36.8,37.0,37.1
"9093 Vollsmose (Odense Kommune)",31.9,32.2,32.6
"9094 Rønnevang (Høje-Taastrup Kommune)",41.3,41.7,42.0
"9095 Svingelbjerg (Vesthimmerlands Kommune)",39.6,39.5,41.7
"9096 Ravnsbjerg (Aarhus Kommune)",37.1,37.1,36.9
"9097 Gellerup (Aarhus Kommune)",29.7,29.9,30.3
"9098 Sthens (Helsingør Kommune)",38.8,39.2,39.7
"9099 Kvaglund (Esbjerg Kommune)",38.3,38.6,39.0
"9100 Bredballe (Vejle Kommune)",40.1,40.0,40.4
"9101 Bistrup (Hjørring Kommune)",40.3,40.6,40.7
"9102 Ulstrupbro (Favrskov Kommune)",42.2,42.3,42.2
"9103 Mørdrup (Helsingør Kommune)",41.3,41.6,41.6
"9104 Ry (Skanderborg Kommune)",40.0,40.1,40.1
"9105 Karlslunde Strandsogn (Greve Kommune)",40.1,40.5,40.7
"9106 Sædden (Esbjerg Kommune)",41.8,42.0,42.4
"9107 Godthåb (Aalborg Kommune)",38.1,38.0,38.4
"9108 Mosede (Greve Kommune)",39.5,39.6,39.9
"9109 Stensby (Vordingborg Kommune)",42.0,42.2,42.2
"9110 Margrethe (Aalborg Kommune)",41.8,41.9,41.6
"9111 Sankt Jørgens (Næstved Kommune)",40.6,40.8,41.3
"9112 Juelsminde (Hedensted Kommune)",50.6,51.0,51.2
"9113 Islebjerg (Frederikssund Kommune)",38.9,39.5,39.5
"9114 Stenderup (Billund Kommune)",37.8,37.5,38.1
"9115 Nygårds (Brøndby Kommune)",42.5,42.6,43.2
"9116 Simon Peters (Kolding Kommune)",38.0,37.9,37.8
"9117 Boholte (Køge Kommune)",41.4,42.0,42.2
"9118 Broholm (Assens Kommune)",39.2,38.9,38.8
"9119 Kølkær (Herning Kommune)",38.6,39.0,39.3
"9120 Kollund (Herning Kommune)",35.7,35.4,35.4
"9121 Gjesing (Esbjerg Kommune)",40.2,40.7,40.9
"9122 Tarm (Ringkøbing-Skjern Kommune)",43.5,43.3,43.7
"9123 Isenvad (Ikast-Brande Kommune)",38.9,39.3,39.1
"9124 Troldhede (Ringkøbing-Skjern Kommune)",41.0,41.1,40.6
"9125 Ilderhede (Herning Kommune)",39.3,38.6,39.0
"9126 Søndermark (Viborg Kommune)",36.8,36.5,36.3
"9127 Klitmøller (Thisted Kommune)",43.5,42.7,43.7
"9128 Frederiksberg Slotssogn (Frederiksberg Kommune)",42.1,42.0,41.8
"9129 Vorupør (Thisted Kommune)",42.5,42.8,43.7
"9130 Mejdal (Holstebro Kommune)",38.7,38.7,38.1
"9131 Hjallese (Odense Kommune)",40.9,41.2,41.6
"9132 Virklund (Silkeborg Kommune)",39.7,40.1,40.4
"9133 Tingbjerg (København Kommune)",32.5,32.8,32.5
"9134 Opstandelseskirkens (Albertslund Kommune)",37.9,38.1,38.4
